,last,first,middle,title,degrees,leave,visiting
0,aalberts,daniel,p.,associate professor of physics,b.s. (1989) m.i.t.; ph.d. (1994) m.i.t.,n,0
1,aaron,jonathan,,"margaret bundy scott visiting professor of english, fall semester",b.a. (1964) university of chicago; ph.d. (1974) yale,n,1
2,abbas,sadia,,visiting assistant professor of english,b.a. (1992) wellesley college; ph.d. (2002) brown,n,1
3,adams,colin,c.,thomas t. read professor of mathematics,b.s. (1978) m.i.t.; ph.d. (1983) university of wisconsin,n,0
4,albrecht,jeannie,r,assistant professor of computer science,"b.s. (2001) gettysburg college; ph.d. (2007) university of california, san diego",n,0
5,ali,laylah,,associate professor of art,b.a. (1991) williams; m.f.a. (1994) washington university,n,0
6,altschuler,marsha,i.,professor of biology,b.s. (1972) university of rochester; ph.d. (1979) indiana university,n,0
7,art,henry,w.,samuel fessenden clarke professor of biology,a.b. (1966) dartmouth; ph.d. (1971) yale,n,0
8,aubert,guillaume,,"assistant professor of history and fellow of the oakley center for the humanities and social sciences, fall semester",b.a. (1992) university de tours-france; ph.d. (2002) tulane,f,0
9,backus,david,h.,lecturer in geosciences,"b.a. (1982) haverford college; ph.d. (1998) university of washington, seattle",n,0
10,bailey,duane,a.,professor of computer science,b.a. (1982) amherst college; ph.d. (1988) university of massachusetts,n,0
11,baker-white,robert,,professor of theatre,b.a. (1980) williams; ph.d (1990) stanford,y,0
12,bakija,jon,m.,associate professor of economics,b.a. (1990) wesleyan; ph.d. (1999) university of michigan,y,0
13,banta,lois,m.,associate professor of biology,b.a. (1983) johns hopkins; ph.d. (1990) california institute of technology,f,0
14,barrale,bill,,assistant professor of physical education,b.a. (1994) northeastern; m.a. (2004) rowan university,n,0
15,barrett,andrea,,lecturer in english,b.s. (1974) union college,n,0
16,barry,melissa,j.,assistant professor of philosophy,b.a. (1988) wheaton; ph.d. (1998) notre dame,f,0
17,bartlett,randall,,"visiting professor of economics, spring semester",b.s. (1966) occidental college; ph.d. (1971) stanford,n,1
18,beaver,donald,deb,professor of history of science,a.b. (1958) harvard; ph.d. (1966) yale,n,0
19,beaver,olga,r.,professor of mathematics,b.a. (1968) university of missouri; ph.d. (1979) university of massachusetts,s,0
20,bell,ilona,d.,professor of english,b.a. (1969) radcliffe; ph.d. (1977) boston college,n,0
21,bell,robert,h.,frederick latimer wells professor of english,b.a. (1967) dartmouth; ph.d. (1972) harvard,n,0
22,bell-villada,gene,h.,professor of romance languages,b.a. (1963) university of arizona; ph.d. (1974) harvard,n,0
23,benedict,ben,,lecturer in art,b.a. (1973) yale; m.arch. (1976) yale school of architecture,n,0
24,bernhardsson,magnus,t.,associate professor of history,"b.a. (1990) university of iceland, ph.d. (1999) yale",n,0
25,bingemann,dieter,,assistant professor of chemistry,"ph.d. (1994) university gottengen, germany",n,0
26,bloxam,m.,jennifer,professor of music,b.m. (1979) university of illinois; ph.d. (1987) yale,n,0
27,bolton,christopher,a.,assistant professor of japanese and comparative literature,a.b.  (1989) harvard; ph.d. (1998) stanford,n,0
28,bolton,sarah,r.,associate professor of physics,"b.s. (1988) brown; ph.d. (1995) university of california, berkeley",n,0
29,botts,carsten,,assistant professor of statistics,b.s. (1998) georgetown; ph.d. (2005) iowa state university,n,0
30,bowers,greg,j.,"visiting assistant professor of music, fall semester",b.a. (1993) lewis and clark college; ph.d. (2006) university of washington,n,1
31,bradburd,ralph,m.,david a. wells professor of political economy,b.a. (1970) columbia; ph.d. (1976) columbia,y,0
32,brainerd,elizabeth,,associate professor of economics,b.a. (1985) bowdoin; ph.d. (1996) harvard,n,0
33,brothers,deborah,a.,costume director and lecturer in theatre,b.a. (1976) university of new orleans; m.f.a. (1979) california institute of the arts,n,0
34,brown,ernest,d.,professor of music,b.a. (1969) harvard; ph.d. (1984) university of washington,n,0
35,brown,michael,f.,james n. lambert ’39 professor of latin american studies and director of the oakley center for the humanities and social sciences,a.b. (1972) princeton; ph.d. (1981) university of michigan,n,0
36,bruton,henry,j.,visiting professor of economics,b.a. (1943) texas; ph.d. (1952) harvard,n,1
37,bryant,freddie,,visiting lecturer in music and africana studies,b.a. (1987) amherst; m.a. (1994) yale,n,1
38,bryant,shannon,,assistant professor of physical education,b.a. (1992) brown; m.s.p. (2005) u.s. sports academy,n,0
39,bucky,jean-bernard,,william dwight whitney professor of arts and director of the faculty center for media technologies,"b.s. (1958) queens, c.u.n.y.; m.f.a. (1966) carnegie-mellon",n,0
40,buell,denise,kimber,professor of religion,a.b. (1987) princeton; ph.d. (1995) harvard,n,0
41,bundtzen,lynda,k.,herbert h. lehman professor of english,b.a. (1968) university of minnesota; ph.d. (1972) university of chicago,n,0
42,burger,edward,b.,professor of mathematics,"b.a. (1985) connecticut college; ph.d. (1990) university of texas, austin",n,0
43,burrow,john,w.,"bennet boskey visiting professor of history, spring semester",b.a. (1955) christ’s college; ph.d. (1961) christ’s college,n,1
44,burton,sandra,l.,lipp family director of dance and assistant professor of physical education,b.a. (1976) c.u.n.y.; m.f.a. (1987) bennington college,n,0
45,campanelli,matthew,r.,lecturer in physical education,b.a. (2000) williams; m.p.e. (2003) springfield college,n,0
46,caprio jr.,gerard,,professor of economics,b.a. (1972) williams; ph.d. (1976) univerisity of michigan,n,0
47,carbone,jared,c.,assistant professor of economics,b.a. (1997) wesleyan; ph.d.  (2003) university of colorado,n,0
48,carlson,jerry,w.,"adjunct professor of art in williams in new york program, fall semester",b.a. williams; ph.d. university of chicago,n,0
49,carlton,james,t.,director of williams-mystic program and professor of marine science and adjunct professor of biology,"b.a. (1971) university of california, berkeley; ph.d. (1979) university of california, davis",n,0
50,case,alison,a.,professor of english,b.a. (1984) oberlin; ph.d. (1991) cornell,n,0
51,cassiday,julie,a.,professor of russian,b.a. (1986) grinnell; ph.d. (1995) stanford,n,0
52,catalano jr.,cosmo,a.,"theatre production manager, technical supervisor for the ’62 center for theatre and dance, and lecturer in theatre",b.a. (1976) university of iowa; m.f.a. (1979) yale,n,0
53,cepeda,maria,e.,assistant professor of latina/o studies,b.a. (1995) kenyon college; ph.d. (2003) university of michigan,n,0
54,chan,lynne,,"visiting lecturer in art, spring semester","b.a. (1997) university of california, los angeles; m.f.a. (2006) columbia",n,1
55,chandler,g.,donald,class of 1948 distinguished visiting professor of leadership studies,b.a. (1972) williams; m.b.a. (1978) harvard business school,n,1
56,chang,cecilia,,assistant professor of chinese,"b.a. (1981) fu-jen university; ph.d. (2004) university of massachusetts, amherst",n,0
57,chavoya,ondine,,assistant professor of art,"b.a. (1992) university of california, santa cruz; ph.d. (2002) university of rochester",n,0
58,chia,juliet,,"visiting lecturer in theatre, fall semester",b.a. (1997) williams; m.f.a. (2000) university of washington,n,1
59,christensen,kerry,a.,garfield professorship of ancient languages,b.a. (1981) swarthmore; ph.d. (1993) princeton,n,0
60,cleghorn,cassandra,j.,"senior lecturer in english and american studies and fellow of the oakley center for the humanities and social sciences, spring semester","b.a. (1983) university of california, santa cruz; ph.d. (1995) yale",s,0
61,conforti,michael,p.,lecturer in the graduate art program in art history,b.a. (1968) trinity college; ph.d. (1977) harvard,n,0
62,cox,ronadh,,associate professor of geosciences,b.s. (1985) university college dublin; ph.d. (1993) stanford,n,0
63,cramer,phebe,,professor of psychology,"b.a. (1957) university of california, berkeley; ph.d. (1962) new york university",n,0
64,crane,george,t.,"professor of political science and fellow of the oakley center for the humanities and social sciences, fall semester","b.a. (1979) s.u.n.y., purchase; ph.d. (1986) university of wisconsin, madison",f,0
65,creighton,marshall,k.,lecturer in physical education,b.a. (2002) williams,n,0
66,cruz,joseph,l.,associate professor of philosophy,b.a. (1991) williams; ph.d. (1999) university of arizona,y,0
67,dalzell jr.,robert,f.,frederick rudolph 1942 professor of american culture,b.a. (1959) amherst; ph.d. (1966) yale,n,0
68,dankmeyer,erica,,"visiting lecturer in theatre, spring semester",b.a. (1991) williams,n,1
69,danyluk,andrea,,professor of computer science,a.b. (1984) vassar; ph.d. (1992) columbia,n,0
70,darrow,william,r.,lissack professor for social responsibility and personal ethics,"b.a. (1970) university of california, santa barbara; ph.d. (1981) harvard",n,0
71,davis,theo,,assistant professor of english,b.a. (1994) brown; ph.d. (2002) johns hopkins university,n,0
72,dean,derek,,instructor in biology,b.a. (1994) oberlin; ph.d. (2004) cornell,n,0
73,de gooyer,alan,w.,lecturer in english,b.a. (1991) colorado state; ph.d. (1994) university of virginia,n,0
74,dekel,edan,,assistant professor of classics,"b.a. (1996) brown; ph.d. (2005) university of california, berkeley",n,0
75,desrosiers,nicole,s.,lecturer in romance languages,c.a.p.e.s. (1970) clermont-ferrand; ph.d. (1980) university of massachusetts,n,0
76,dethier,david,p.,edward brust professor of geology and mineralogy,b.a. (1972) dartmouth; ph.d. (1977) university of washington,n,0
77,devadoss,satyan,l.,associate professor of mathematics,b.s. (1993) north central college; ph.d. (1999) johns hopkins university,n,0
78,deveaux,monique,,associate professor of political science,b.a. (1989) mcgill; ph.d. (1997) cambridge,n,0
79,de veaux,richard,d.,professor of statistics,a.b. (1973) princeton; ph.d. (1986) stanford,n,0
80,dew,charles,b.,ephraim williams professor of american history,b.a. (1958) williams; ph.d. (1964) johns hopkins,y,0
81,dewitt,william,,c. carlisle and margaret tippit professor of biology,b.a. (1961) williams; ph.d. (1966) princeton,n,0
82,di cenzo,daniel,a.,assistant professor of physical education,b.a. (2001) williams,n,0
83,diers,kai,a.,visiting assistant professor of german,ph.d. (2007) rutgers,n,1
84,dolgert,stefan,,"visiting assistant professor of political science, spring semester",b.a. (1990) university of southern california; m.a. (2006) duke university,n,1
85,dreyfus,georges,b.,jackson professor of religion,bachelors (1969) la chaux-de-fonds; ph.d. (1991) university of virginia,n,0
86,druxes,helga,,professor of german,a.m. (1985) brown; ph.d. (1987) brown,f,0
87,dubow,sara,l.,visiting assistant professor of history,b.a. (1991) williams; ph.d. (2003) rutgers,n,1
88,dudley,william,c.,associate professor of philosophy,b.a. (1989) williams; ph.d. (1998) northwestern,n,0
89,dunn,susan,,professor of humanities,a.b. (1966) smith; ph.d. (1973) harvard,n,0
90,edwards,david,b.,"carl w. vogt ’58 professor of anthropology and fellow of the oakley center for the humanities and social sciences, spring semester",b.a. (1975) princeton; ph.d. (1986) university of michigan,s,0
91,edwards,holly,,senior lecturer in art,b.a. (1975) princeton; ph.d. (1990) new york university institute of fine arts,n,0
92,edwards,joan,,washington gladden 1859 professor of biology,b.a. (1971) university of michigan; ph.d. (1978) university of michigan,f,0
93,ehrlich,gretel,,"class of 1946 visiting professor of international environmental studies, spring semester","m.a. (2002) university of arizona, tucson",n,1
94,eibach,richard,,"assistant professor of psychology, fall semester",b.a. (1997) cornell; ph.d. (2003) cornell,n,0
95,engel,susan,l.,senior lecturer in psychology and director of teaching program,b.a. (1980) sarah lawrence; ph.d. (1986) city university of new york,n,0
96,eppel,david,,professor of theatre and academic director of the multicultural center,b.a. (1971) university of cape town; m.f.a. (1986) columbia,n,0
97,epping,edward,a.,alexander d. falck class of 1899 professor of art,b.a. (1970) western illinois university; m.f.a. (1973) university of wisconsin,s,0
98,erickson,peter,,visiting professor of humanities,"b.a. (1967) amherst; ph.d. (1975) university of california, santa cruz",n,1
99,erikson,kai,,"visiting professor of sociology, fall semester",b.a. (1953) reed college; ph.d. (1963) university of chicago,n,1
100,farley,richard,j.,assistant professor of physical education,b.s. (1968) boston university; m.ed. (1974) boston university,n,0
101,farwell,peter,k.,assistant professor of physical education,b.a. (1973) williams; m.a. (1990) central michigan,n,0
102,fealing,kaye,husbands,william brough professor of economics,b.a. (1981) university of pennsylvania; ph.d. (1990) harvard,y,0
103,fein,steven,,professor of psychology,a.b. (1986) princeton; ph.d. (1991) university of michigan,n,0
104,feldman,ronald,l.,artist-in-residence in orchestral/instrumental performance,b.m. (1971) boston university school for the arts;,n,0
105,filipczak,zirka,z.,preston s. parish ’41 third century professor of art,b.a. (1964) barnard; ph.d. (1973) harvard,n,0
106,fisher,anne,,visiting assistant professor of russian,b.a. (1997) university of oklahoma; ph.d. (2005) university of michigan,n,1
107,fisher jr.,robert,l.,assistant professor of physical education and associate director of athletics,b.a. (1970) st. lawrence; m.ed. (1974) st. lawrence,n,0
108,fishzon,anna,,assistant professor of russian history,,n,0
109,fix,stephen,e.,robert g. scott ’68 professor of english aned coordinator of the tutorial program,a.b. (1974) boston college; ph.d. (1980) cornell,n,0
110,foias,antonia,e.,associate professor of anthropology,b.a. (1987) harvard/radcliffe; ph.d. (1996) vanderbilt university,n,0
111,forkey,kevin,r.,lecturer in physics,b.a. (1981) cornell,n,0
112,fortunato,michael,,visiting professor of economics,a.b. (1976) columbia; ph.d. (1982) harvard,n,1
113,fox,soledad,,associate professor of romance languages,b.a. (1990) sarah lawrence college; ph.d. (2001) city university of new york,n,0
114,french,jennifer,l.,assistant professor in latin-american literature and spanish language,b.a. (1995) college of william & mary; ph.d. (2001) rutgers,n,0
115,freund,stephen,n.,assistant professor of computer science,b.s. (1995) stanford; ph.d. (2000) stanford,n,0
116,gallay,paul,,"visiting professor of environmental studies, fall semester",b.a. (1981) williams; j.d. (1984) columbia,n,1
117,ganz,james,a.,lecturer in the graduate program in art history,b.a. (1986) trinity college; ph.d. (2000) yale,n,0
118,garbarini,alexandra,,assistant professor of history,b.a. (1994) williams; ph.d. (2003) ucla,y,0
119,gardner,sarah,,lecturer in environmental studies,b.a. (1985) smith; ph.d. (2000) c.u.n.y.,n,0
120,garrity,thomas,a.,william r. kenanjr. professor of mathematics,b.s. (1981) university of texas; ph.d. (1986) brown,n,0
121,gazzale,robert,,assistant professor of economics,b.s. (1990) georgetown; ph.d. (2004) university of michigan,y,0
122,gehring,amy,,assistant professor of chemistry,b.a. (1994) williams; ph.d. (1998) harvard,n,0
123,gentry,william,,associate professor of economics,s.b. (1986) mit; ph.d. (1991) princeton,f,0
124,gerrard,steven,b.,professor of philosophy and herbert h. lehman fellow of the oakley center for the humanities and social sciences,b.a. (1978) amherst; ph.d. (1987) university of chicago,y,0
125,gilbert,lisa,,assistant professor of marine science and assistant professor of geosciences at williams-mystic,b.a. (1997) darthmouth; ph.d. (2004) university of washington,n,0
126,glier,michael,a.,professor of art,b.a. (1976) williams; m.a. (1979) hunter,y,0
127,glover,allison,,visiting lecturer in spanish,b.a. (1992) allegany college; m.a. (2003) middlebury,n,1
128,goethals ii,george,r.,professor of psychology,a.b. (1966) harvard; ph.d. (1970) duke,y,0
129,goh,christopher,,visiting assistant professor of chemistry,b.s. (1989) university of durham; ph.d. (1996) harvard,n,1
130,goh,sarah,,assistant professor of chemistry,"b.s. (1996) university of michigan; ph.d. (2004) university of california, berkeley",y,0
131,goldberg,eric,j.,associate professor of history,b.a. (1991) university of pennsylvania; ph.d. (1998) university of virginia,s,0
132,goldstein,darra,j.,"francis christopher oakley third century professor of russian and fellow of the oakley center for the humanities and social sciences, fall semester",b.a. (1973) vassar; ph.d. (1983) stanford,y,0
133,gollin,douglas,,associate professor of economics,a.b. (1983) harvard; ph.d. (1990) university of minnesota,n,0
134,gollin,edward,,assistant professor of music and fellow of the oakley center for the humanities and social sciences,b.a. (1992) mit; ph.d. (2000) harvard,y,0
135,goodman,elisabeth,,"visiting lecturer in environmental studies, fall semester","b.a. rutgers university; j.d. american university, washington college of law",n,1
136,gotlieb,marc,,director of the graduate program in art history and class of 1955 memorial professor of art,b.a. (1980) university of toronto; ph.d. (1990) johns hopkins,n,0
137,graver,suzanne,l.,"visiting professor of english and andrew melllon emeritus faculty fellow, fall semester","b.a. (1958) queens, cuny; ph.d. (1976) university of massachusetts",f,1
138,grees,edward,s.,assistant professor of physical education,b.a. (1975) windham; m.s. (1982) university of massachusetts,f,0
